soil_type,moisture_content,bulk_density,grain_size,foundation_depth,field_observation_score,bearing_capacity,safety_class
Silt,33.09,19.05,Fine,1.98,1,190.58,Moderate
Sand,18.49,14.46,Fine,1.6,5,221.45,Safe
Sand,13.9,19.54,Coarse,1.34,1,287.91,Safe
Sand,27.99,19.08,Medium,1.34,3,276.09,Safe
Silt,34.53,16.43,Coarse,2.58,1,231.76,Safe
Sand,18.09,15.28,Fine,1.54,1,192.82,Moderate
Silt,25.3,19.68,Fine,0.55,5,181.51,Moderate
Sand,16.24,16.66,Fine,1.07,1,203.35,Safe
Silt,13.52,19.41,Fine,1.0,3,169.61,Moderate
Silt,5.5,14.47,Fine,2.43,4,205.75,Safe
Clay,16.91,20.13,Medium,1.85,3,187.96,Moderate
Sand,10.76,19.27,Coarse,2.01,5,326.39,Safe
Sand,29.46,21.31,Medium,0.73,4,257.08,Safe
Gravel,32.01,16.54,Coarse,0.94,5,343.01,Safe
Gravel,29.24,18.65,Medium,1.14,1,300.16,Safe
Clay,16.8,17.49,Medium,0.63,3,113.28,Moderate
Gravel,33.41,14.75,Coarse,1.26,3,278.77,Safe
Clay,8.57,16.38,Coarse,1.78,2,154.73,Moderate
Sand,9.92,14.31,Fine,0.78,5,199.82,Moderate
Silt,15.15,14.98,Fine,1.22,3,148.74,Moderate
Clay,13.38,18.62,Medium,1.5,3,174.55,Moderate
Sand,17.6,21.83,Medium,1.04,1,262.03,Safe
Silt,5.41,18.12,Medium,2.07,5,258.29,Safe
Sand,22.76,18.51,Coarse,1.3,5,292.35,Safe
Gravel,24.06,18.92,Coarse,2.9,2,400.0,Safe
Silt,21.11,16.68,Coarse,2.3,1,202.8,Safe
Silt,39.82,19.83,Coarse,1.53,5,265.65,Safe
Sand,24.61,16.9,Coarse,2.89,5,323.29,Safe
Silt,39.14,21.42,Medium,2.25,1,256.79,Safe
Clay,37.96,20.9,Fine,0.51,2,56.42,Unsafe
Silt,5.33,21.43,Fine,2.68,1,266.94,Safe
Gravel,16.05,21.04,Coarse,0.73,1,330.93,Safe
Sand,21.45,19.3,Fine,2.43,1,232.0,Safe
Sand,38.1,21.51,Fine,1.22,4,264.46,Safe
Clay,6.9,18.15,Medium,2.74,4,208.66,Safe
Sand,29.4,17.34,Fine,1.63,4,235.97,Safe
Silt,14.05,19.41,Coarse,2.22,2,302.54,Safe
Clay,38.13,21.03,Fine,0.78,5,84.7,Unsafe
Silt,13.98,20.73,Medium,2.52,3,241.34,Safe
Silt,38.62,17.15,Medium,2.06,1,147.42,Moderate
Sand,24.21,15.35,Medium,0.87,2,195.98,Moderate
Sand,32.87,18.93,Medium,0.79,2,201.98,Safe
Gravel,26.87,18.46,Coarse,1.8,4,376.2,Safe
Clay,26.57,19.82,Coarse,1.64,5,148.46,Moderate
Sand,37.93,17.14,Medium,0.94,3,217.97,Safe
Silt,25.28,18.66,Medium,0.9,2,165.86,Moderate
Silt,26.37,17.44,Coarse,2.9,3,234.41,Safe
Silt,30.65,18.87,Medium,1.9,1,165.39,Moderate
Sand,39.78,14.92,Coarse,0.64,5,190.98,Moderate
Clay,7.98,16.23,Medium,1.78,2,151.43,Moderate
Silt,13.73,21.87,Medium,1.91,4,271.41,Safe
Sand,13.22,15.5,Medium,2.47,1,244.88,Safe
Silt,12.22,16.21,Fine,2.72,3,197.48,Moderate
Gravel,7.56,19.96,Fine,2.3,4,311.15,Safe
Silt,11.85,15.71,Medium,2.61,5,239.68,Safe
Clay,25.84,18.52,Medium,2.67,3,134.14,Moderate
Silt,33.8,16.74,Coarse,1.62,5,187.98,Moderate
Clay,26.04,18.63,Medium,2.52,3,148.01,Moderate
Clay,15.98,18.99,Coarse,2.48,5,238.05,Safe
Clay,13.69,20.08,Fine,1.7,1,141.23,Moderate
Silt,9.3,14.5,Fine,0.89,2,123.16,Moderate
Sand,28.05,17.54,Medium,2.36,3,289.32,Safe
Clay,19.67,18.02,Coarse,1.68,2,127.75,Moderate
Clay,19.29,16.74,Coarse,2.37,3,146.02,Moderate
Clay,9.6,16.73,Fine,1.3,2,119.35,Moderate
Sand,25.3,15.2,Fine,0.88,1,159.73,Moderate
Sand,15.07,20.83,Fine,2.64,5,258.09,Safe
Sand,32.52,15.88,Fine,2.01,3,224.7,Safe
Clay,25.51,21.02,Coarse,2.24,4,180.18,Moderate
Sand,20.18,18.79,Medium,1.33,2,244.47,Safe
Silt,34.36,14.0,Coarse,1.94,2,170.06,Moderate
Clay,38.46,18.69,Medium,1.89,1,66.1,Unsafe
Clay,18.76,15.34,Coarse,0.64,2,85.82,Unsafe
Clay,35.04,17.35,Fine,1.87,4,69.24,Unsafe
Sand,29.99,18.28,Medium,1.5,1,214.0,Safe
Sand,9.14,14.96,Fine,2.71,5,267.99,Safe
Sand,36.77,16.35,Coarse,1.72,4,226.56,Safe
Gravel,8.05,21.72,Medium,2.39,5,400.0,Safe
Clay,36.79,18.83,Coarse,2.2,5,120.81,Moderate
Clay,16.71,15.32,Coarse,0.94,3,105.64,Moderate
Silt,7.82,14.84,Fine,1.78,4,148.63,Moderate
Gravel,10.14,19.2,Medium,0.87,5,388.96,Safe
Silt,17.66,15.87,Medium,1.47,5,185.23,Moderate
Sand,14.74,16.07,Fine,1.45,4,194.63,Moderate
Silt,29.4,17.55,Fine,1.79,5,160.14,Moderate
Silt,24.13,18.24,Coarse,1.31,3,216.02,Safe
Clay,38.3,15.12,Fine,1.23,4,50.0,Unsafe
Sand,25.4,17.74,Fine,2.04,4,258.58,Safe
Sand,19.26,18.44,Medium,0.64,4,233.2,Safe
Silt,22.5,17.92,Fine,1.45,3,158.36,Moderate
Sand,30.52,14.77,Coarse,1.96,1,256.46,Safe
Clay,6.51,20.71,Medium,1.6,5,209.83,Safe
Clay,9.87,19.26,Coarse,2.45,5,230.28,Safe
Sand,10.16,17.29,Coarse,1.54,3,266.5,Safe
Sand,7.59,16.1,Coarse,2.35,2,319.58,Safe
Clay,27.63,18.17,Fine,2.93,2,127.32,Moderate
Sand,14.7,15.43,Coarse,1.7,4,238.35,Safe
Sand,25.63,19.93,Coarse,2.27,1,336.12,Safe
Sand,30.38,21.92,Medium,2.91,4,322.08,Safe
Clay,25.57,15.44,Medium,1.24,3,75.08,Unsafe
Sand,5.88,20.62,Fine,0.7,3,240.03,Safe
Sand,11.87,20.91,Coarse,1.67,2,288.32,Safe
Clay,24.13,17.34,Fine,1.35,3,102.6,Moderate
Clay,34.98,18.31,Coarse,0.82,5,87.91,Unsafe
Sand,21.24,20.37,Coarse,0.52,4,263.41,Safe
Clay,9.02,15.61,Coarse,2.66,4,176.25,Moderate
Sand,17.16,16.87,Fine,2.07,3,222.67,Safe
Clay,17.44,18.57,Fine,1.86,1,107.17,Moderate
Clay,30.53,16.05,Coarse,2.74,5,155.5,Moderate
Sand,34.3,21.23,Coarse,1.3,4,360.97,Safe
Sand,37.23,17.47,Coarse,0.76,2,232.72,Safe
Sand,27.91,18.16,Fine,1.17,1,198.23,Moderate
Clay,16.56,14.56,Coarse,0.77,2,82.83,Unsafe
Clay,24.72,18.67,Coarse,2.82,4,166.58,Moderate
Gravel,18.43,14.13,Medium,2.43,2,287.15,Safe
Silt,14.28,17.0,Medium,2.42,3,206.18,Safe
Silt,36.24,20.12,Coarse,2.49,4,269.43,Safe
Clay,34.84,18.07,Medium,0.55,3,56.25,Unsafe
Silt,13.47,18.43,Fine,2.96,1,207.58,Safe
Gravel,27.19,16.45,Medium,2.77,2,297.87,Safe
Gravel,9.42,14.32,Coarse,0.73,3,290.31,Safe
Gravel,27.19,20.15,Fine,2.08,3,282.25,Safe
Gravel,9.11,15.69,Coarse,1.26,3,349.67,Safe
Clay,7.92,19.37,Coarse,2.41,2,197.33,Moderate
Silt,20.8,14.6,Coarse,0.52,2,148.14,Moderate
Sand,22.72,16.21,Medium,1.59,2,245.37,Safe
Clay,31.19,21.81,Coarse,0.55,2,124.37,Moderate
Clay,31.64,20.01,Coarse,1.37,4,123.32,Moderate
Silt,12.91,15.57,Fine,2.71,4,182.69,Moderate
Sand,32.75,20.6,Coarse,0.52,1,294.74,Safe
Sand,26.72,18.47,Medium,2.35,2,280.35,Safe
Clay,35.22,18.62,Coarse,0.87,4,90.9,Unsafe
Sand,39.44,16.87,Coarse,0.75,5,232.69,Safe
Clay,30.18,16.46,Coarse,2.53,3,117.43,Moderate
Silt,24.49,21.38,Coarse,2.36,2,255.68,Safe
Sand,17.65,16.09,Fine,2.66,2,193.92,Moderate
Clay,27.42,17.87,Coarse,1.17,5,123.79,Moderate
Sand,11.65,16.15,Fine,1.72,1,198.4,Moderate
Sand,23.02,19.34,Fine,0.66,4,248.73,Safe
Silt,6.79,14.01,Coarse,2.47,4,190.02,Moderate
Silt,13.42,15.24,Coarse,2.54,2,213.37,Safe
Silt,38.48,18.26,Coarse,1.88,4,266.62,Safe
Gravel,19.76,15.15,Coarse,0.98,2,338.32,Safe
Sand,38.28,21.94,Coarse,0.87,3,270.58,Safe
Silt,8.69,20.64,Coarse,2.34,3,333.09,Safe
Silt,39.21,21.18,Medium,2.86,2,276.78,Safe
Gravel,8.88,20.44,Fine,0.6,4,337.39,Safe
Silt,6.87,17.8,Medium,1.61,5,199.94,Moderate
Clay,13.0,20.12,Fine,2.43,3,192.4,Moderate
Sand,7.49,15.08,Medium,0.67,1,163.67,Moderate
Clay,21.12,18.08,Medium,2.24,1,141.64,Moderate
Clay,12.37,14.18,Medium,2.43,4,158.92,Moderate
Sand,29.03,19.07,Coarse,2.25,5,342.11,Safe
Silt,16.49,18.09,Fine,1.69,5,201.45,Safe
Silt,9.55,15.75,Medium,1.96,3,212.19,Safe
Sand,39.71,14.15,Coarse,1.93,5,245.61,Safe
Silt,16.07,17.29,Fine,1.25,1,158.04,Moderate
Clay,25.02,17.94,Fine,2.31,5,122.5,Moderate
Silt,10.41,14.21,Medium,0.84,3,121.34,Moderate
Gravel,21.04,14.09,Medium,2.03,5,284.53,Safe
Silt,13.06,17.35,Coarse,1.65,2,229.43,Safe
Clay,35.68,19.73,Medium,1.4,3,84.91,Unsafe
Clay,20.92,17.09,Coarse,1.13,2,105.07,Moderate
Sand,32.67,16.7,Medium,1.52,2,201.0,Safe
Sand,36.72,16.47,Medium,2.59,2,267.61,Safe
Clay,10.86,14.95,Medium,1.52,5,130.36,Moderate
Clay,32.43,16.12,Medium,1.82,5,81.26,Unsafe
Silt,36.73,15.81,Coarse,0.97,5,153.07,Moderate
Sand,13.47,20.61,Fine,2.19,3,301.98,Safe
Clay,34.31,20.86,Medium,1.12,5,110.7,Moderate
Clay,10.84,21.38,Medium,0.79,4,194.93,Moderate
Sand,5.54,19.47,Medium,1.32,1,243.41,Safe
Sand,12.11,14.63,Fine,1.58,5,211.43,Safe
Silt,9.93,16.27,Coarse,1.57,4,240.63,Safe
Clay,34.75,19.29,Fine,1.96,3,86.0,Unsafe
Sand,23.66,17.03,Medium,0.77,2,179.01,Moderate
Clay,37.01,14.99,Medium,2.86,4,88.51,Unsafe
Silt,29.3,14.4,Fine,2.68,3,164.74,Moderate
Gravel,30.41,17.59,Fine,1.96,1,313.23,Safe
Clay,7.44,18.35,Fine,1.53,1,150.21,Moderate
Sand,6.6,19.98,Fine,2.81,1,288.92,Safe
Sand,19.65,19.56,Fine,0.75,2,193.49,Moderate
Silt,28.55,20.99,Fine,2.34,3,200.67,Safe
Sand,25.54,18.78,Coarse,1.42,5,318.85,Safe
Gravel,37.49,14.31,Fine,1.35,5,245.71,Safe
Clay,30.97,18.77,Coarse,0.58,1,70.59,Unsafe
Clay,19.39,18.62,Fine,1.95,3,146.51,Moderate
Clay,8.65,16.59,Coarse,2.72,3,221.3,Safe
Silt,19.42,18.23,Coarse,2.48,4,308.35,Safe
Sand,10.62,19.66,Medium,1.11,3,224.18,Safe
Silt,9.54,21.56,Coarse,0.96,5,264.98,Safe
Gravel,15.95,17.56,Coarse,2.83,3,400.0,Safe
Silt,5.35,18.54,Medium,1.86,3,220.71,Safe
Silt,37.52,15.48,Medium,0.69,1,109.07,Moderate
Clay,12.09,21.08,Coarse,2.51,5,304.28,Safe
Sand,12.99,21.3,Fine,2.9,5,332.49,Safe
Sand,26.27,19.4,Fine,0.99,2,202.86,Safe
Silt,7.39,21.11,Medium,1.3,2,249.33,Safe
Sand,8.13,15.9,Medium,1.39,5,209.31,Safe
Silt,33.62,15.9,Fine,1.8,2,139.06,Moderate
Gravel,37.52,16.95,Coarse,0.92,2,334.49,Safe
Sand,15.48,16.43,Fine,0.65,1,150.68,Moderate
Sand,28.98,14.31,Medium,0.82,3,192.36,Moderate
Clay,20.54,21.98,Coarse,0.56,3,143.66,Moderate
Sand,33.29,17.31,Medium,0.99,5,254.82,Safe
Sand,35.87,19.5,Medium,2.12,5,275.28,Safe
Clay,15.06,17.87,Coarse,2.61,2,193.5,Moderate
Silt,26.47,18.37,Coarse,1.71,5,212.98,Safe
Clay,35.88,20.44,Fine,2.41,3,124.49,Moderate
Silt,28.17,14.28,Fine,2.19,1,133.55,Moderate
Sand,15.49,17.26,Fine,1.77,2,210.74,Safe
Silt,27.03,14.99,Coarse,1.21,5,210.62,Safe
Sand,28.14,14.54,Medium,2.24,4,202.8,Safe
Clay,14.4,20.2,Fine,2.6,4,193.33,Moderate
Clay,14.1,15.23,Medium,2.57,2,115.43,Moderate
Silt,18.58,16.02,Fine,1.23,4,170.24,Moderate
Gravel,12.77,19.52,Coarse,2.51,3,400.0,Safe
Silt,20.18,21.29,Coarse,1.74,5,301.32,Safe
Sand,31.96,17.97,Medium,2.83,4,256.83,Safe
Silt,33.83,20.34,Medium,2.31,1,228.6,Safe
Clay,26.54,16.77,Coarse,2.07,3,114.12,Moderate
Clay,32.56,19.42,Fine,1.82,4,92.28,Unsafe
Clay,17.38,18.8,Fine,0.55,5,130.52,Moderate
Silt,14.76,21.6,Fine,1.6,5,208.37,Safe
Clay,36.88,14.45,Fine,2.74,4,58.1,Unsafe
Clay,35.5,19.08,Fine,1.23,3,76.22,Unsafe
Clay,18.27,18.56,Medium,2.25,4,143.89,Moderate
Silt,36.12,18.61,Coarse,0.77,3,191.57,Moderate
Sand,16.99,21.75,Coarse,1.42,2,280.69,Safe
Sand,12.89,21.47,Fine,2.37,4,276.04,Safe
Sand,5.59,14.05,Fine,2.71,2,195.67,Moderate
Clay,7.34,14.29,Medium,1.89,1,108.93,Moderate
Sand,31.75,16.4,Coarse,1.59,3,221.65,Safe
Sand,28.4,19.2,Coarse,2.78,4,373.13,Safe
Clay,23.08,21.43,Fine,1.93,1,138.04,Moderate
Clay,27.21,20.66,Fine,1.84,3,134.23,Moderate
Sand,25.32,15.3,Medium,2.92,1,222.02,Safe
Clay,13.45,20.96,Medium,1.08,2,159.92,Moderate
Gravel,32.56,20.44,Coarse,0.59,1,357.59,Safe
Clay,13.72,17.1,Medium,1.35,1,114.02,Moderate
Gravel,25.04,17.88,Medium,2.01,2,314.31,Safe
Silt,29.63,15.93,Fine,2.67,3,164.19,Moderate
Gravel,35.72,20.62,Coarse,2.07,3,392.23,Safe
Clay,38.15,19.65,Fine,1.8,2,70.51,Unsafe
Clay,31.16,16.15,Fine,1.34,5,72.43,Unsafe
Sand,10.84,20.98,Medium,2.13,2,282.8,Safe
Clay,26.72,19.28,Fine,1.31,1,75.54,Unsafe
Sand,13.69,14.41,Fine,1.38,4,167.02,Moderate
Gravel,32.31,17.26,Medium,2.62,4,319.41,Safe
Silt,5.85,18.37,Medium,0.94,5,234.3,Safe
Sand,17.33,14.23,Coarse,2.28,4,288.69,Safe
Sand,15.48,19.01,Fine,1.37,4,232.13,Safe
Silt,39.47,18.46,Medium,1.08,1,156.87,Moderate
Gravel,34.0,19.85,Fine,0.59,4,322.84,Safe
Clay,10.78,14.33,Coarse,1.36,4,141.03,Moderate
Clay,34.25,21.81,Fine,1.78,2,118.71,Moderate
Silt,35.16,20.22,Coarse,2.51,2,294.12,Safe
Sand,15.46,19.27,Medium,0.66,3,259.38,Safe
Silt,33.96,16.73,Coarse,1.91,2,181.37,Moderate
Gravel,24.05,17.56,Fine,2.11,4,306.74,Safe
Gravel,22.51,20.39,Coarse,1.58,5,393.28,Safe
Clay,12.02,20.63,Coarse,1.35,3,204.26,Safe
Sand,20.69,14.99,Fine,1.37,1,188.55,Moderate
Clay,35.76,20.24,Coarse,1.17,3,91.1,Unsafe
Sand,23.29,15.76,Coarse,2.57,2,285.55,Safe
Clay,31.81,17.6,Medium,2.11,1,94.15,Unsafe
Gravel,9.68,15.02,Medium,2.05,1,285.29,Safe
Clay,13.64,19.36,Fine,0.55,2,127.92,Moderate
Sand,27.99,19.27,Medium,1.57,5,231.44,Safe
Silt,32.76,20.75,Fine,2.15,4,223.86,Safe
Sand,15.67,16.08,Medium,2.15,2,250.66,Safe
Clay,39.34,19.74,Coarse,0.51,4,75.58,Unsafe
Sand,29.36,16.01,Fine,1.71,1,186.98,Moderate
Gravel,39.34,17.24,Coarse,2.26,4,352.57,Safe
Clay,27.6,22.0,Medium,0.67,3,108.95,Moderate
Clay,7.88,16.94,Coarse,1.62,3,177.07,Moderate
Clay,26.83,17.79,Coarse,2.87,3,158.96,Moderate
Silt,18.5,21.67,Coarse,1.1,4,298.13,Safe
Sand,33.0,21.63,Medium,2.08,1,249.63,Safe
Sand,30.78,15.63,Coarse,0.96,5,267.25,Safe
Clay,12.31,17.36,Coarse,1.8,3,163.73,Moderate
Sand,38.52,16.45,Fine,2.46,2,207.6,Safe
Sand,18.06,14.67,Fine,0.62,5,192.54,Moderate
Sand,15.34,19.33,Medium,2.11,4,263.98,Safe
Silt,28.59,14.16,Fine,0.99,5,118.52,Moderate
Silt,20.97,19.83,Coarse,1.73,4,297.71,Safe
Sand,12.68,18.94,Coarse,1.34,4,267.9,Safe
Sand,6.48,18.97,Coarse,2.82,2,368.24,Safe
Silt,19.07,16.74,Coarse,1.3,4,225.65,Safe
Gravel,37.77,16.86,Medium,2.12,3,282.41,Safe
Clay,24.09,20.67,Medium,1.33,3,153.65,Moderate
Sand,5.29,14.72,Coarse,1.91,2,268.2,Safe
Sand,12.2,19.38,Fine,1.15,5,245.11,Safe
Clay,13.31,19.39,Coarse,1.18,3,205.18,Safe
Sand,33.16,20.48,Fine,0.88,4,261.83,Safe
Sand,11.51,17.2,Fine,1.9,2,188.95,Moderate
Silt,30.3,21.76,Fine,2.78,2,267.73,Safe
Sand,5.67,15.54,Fine,0.76,3,204.74,Safe
Silt,14.48,19.19,Medium,1.9,4,251.31,Safe
Gravel,22.94,18.89,Coarse,1.27,5,400.0,Safe
Clay,24.38,19.41,Coarse,2.65,2,174.25,Moderate
Clay,6.36,17.99,Medium,0.71,1,142.03,Moderate
Sand,38.27,19.46,Fine,1.65,1,200.5,Safe
Clay,27.32,21.08,Medium,2.74,3,184.29,Moderate
Gravel,28.33,17.89,Medium,1.08,3,340.79,Safe
Clay,29.77,21.45,Medium,2.37,3,142.31,Moderate
Sand,25.01,20.57,Fine,1.48,3,264.35,Safe
Sand,26.87,15.52,Medium,2.2,4,268.49,Safe
Sand,17.11,15.49,Fine,2.95,5,222.94,Safe
Sand,36.34,18.99,Coarse,1.31,5,328.17,Safe
Silt,33.13,14.32,Coarse,1.62,3,148.76,Moderate
Clay,15.74,14.11,Medium,2.2,4,117.73,Moderate
Sand,28.49,20.82,Medium,1.33,5,261.41,Safe
Clay,35.26,15.21,Medium,2.33,3,60.95,Unsafe
Silt,14.29,19.75,Fine,0.64,4,181.44,Moderate
Sand,14.08,16.5,Fine,2.08,1,231.38,Safe
Sand,23.75,14.68,Coarse,1.32,2,231.08,Safe
Sand,9.31,15.92,Medium,1.1,2,195.44,Moderate
Clay,24.37,17.15,Fine,1.31,1,72.35,Unsafe
Silt,16.39,16.76,Coarse,1.35,4,237.95,Safe
Silt,5.67,19.78,Fine,1.23,5,206.36,Safe
Sand,21.05,20.48,Medium,1.55,4,242.63,Safe
Sand,19.35,19.88,Coarse,1.58,3,348.25,Safe
Sand,36.1,14.57,Fine,2.64,3,228.21,Safe
Sand,38.96,15.87,Fine,2.96,4,255.95,Safe
Clay,27.81,15.27,Coarse,2.19,4,98.72,Unsafe
Sand,18.31,17.23,Coarse,1.21,5,245.61,Safe
Gravel,29.94,14.44,Fine,0.52,4,223.2,Safe
Sand,39.58,14.69,Fine,2.52,3,225.91,Safe
Sand,23.17,16.42,Fine,1.25,2,209.9,Safe
Sand,36.85,19.83,Fine,0.68,3,204.34,Safe
Sand,27.1,14.82,Medium,2.57,4,270.64,Safe
Gravel,28.37,17.76,Coarse,1.01,3,365.25,Safe
Silt,26.6,14.4,Medium,1.63,5,148.51,Moderate
Silt,20.89,14.46,Medium,2.72,3,174.67,Moderate
Sand,26.24,15.47,Coarse,0.58,2,179.3,Moderate
Clay,7.92,21.62,Coarse,0.73,2,196.28,Moderate
Sand,31.68,15.34,Medium,1.67,1,181.55,Moderate
Clay,10.42,16.9,Coarse,1.51,4,170.24,Moderate
Silt,19.97,19.39,Medium,2.72,5,246.78,Safe
Silt,25.75,19.68,Fine,2.54,2,221.58,Safe
Silt,16.68,17.87,Coarse,2.85,5,329.12,Safe
Gravel,39.87,19.65,Coarse,2.03,4,377.09,Safe
Sand,35.81,18.16,Medium,2.4,4,306.5,Safe
Sand,21.24,21.66,Medium,1.27,2,282.63,Safe
Sand,26.38,19.87,Fine,0.65,5,211.62,Safe
Sand,38.88,14.36,Fine,2.88,5,187.88,Moderate
Gravel,10.71,17.23,Fine,2.9,5,357.38,Safe
Sand,37.14,20.87,Medium,1.52,2,261.58,Safe
Clay,7.81,14.76,Fine,1.7,4,124.8,Moderate
Gravel,11.71,17.8,Coarse,0.82,4,342.52,Safe
Clay,39.34,20.26,Medium,1.19,1,63.87,Unsafe
Silt,7.02,18.68,Medium,2.72,2,223.13,Safe
Clay,7.69,16.41,Fine,1.54,1,99.6,Unsafe
Silt,15.58,17.6,Fine,1.92,1,181.88,Moderate
Sand,6.82,14.4,Fine,0.83,3,159.61,Moderate
Silt,5.44,15.45,Medium,2.18,2,183.38,Moderate
Sand,20.73,18.53,Fine,0.76,3,184.59,Moderate
Sand,25.78,19.83,Fine,2.41,2,280.51,Safe
Silt,7.02,18.8,Medium,2.31,5,287.82,Safe
Sand,38.3,21.1,Coarse,2.61,1,324.01,Safe
Clay,31.76,21.52,Coarse,2.82,4,191.29,Moderate
Clay,21.91,15.8,Coarse,2.13,4,149.76,Moderate
Sand,28.48,20.02,Medium,1.38,2,273.08,Safe
Silt,24.74,20.98,Coarse,2.59,2,297.77,Safe
Clay,34.11,21.22,Medium,0.94,5,100.1,Moderate
Clay,27.5,18.4,Medium,2.83,5,142.88,Moderate
Sand,17.18,17.36,Fine,0.51,2,157.47,Moderate
Clay,38.3,19.37,Fine,1.25,5,69.73,Unsafe
Gravel,26.13,19.29,Medium,0.53,4,304.27,Safe
Clay,31.64,15.9,Coarse,2.48,1,73.08,Unsafe
Sand,33.99,15.87,Fine,1.61,2,190.93,Moderate
Sand,11.09,21.42,Coarse,1.71,3,365.73,Safe
Clay,7.47,16.02,Coarse,2.41,5,203.34,Safe
Sand,13.47,21.73,Coarse,2.88,2,376.43,Safe
Clay,20.01,18.73,Medium,0.53,2,93.91,Unsafe
Sand,5.27,16.3,Medium,1.1,1,203.27,Safe
Sand,14.64,15.63,Coarse,1.4,4,263.64,Safe
Clay,16.92,20.8,Fine,1.68,2,144.21,Moderate
Sand,12.86,15.66,Medium,2.93,3,273.14,Safe
Sand,15.34,17.17,Fine,2.73,5,237.31,Safe
Sand,12.09,20.41,Coarse,2.96,4,384.79,Safe
Gravel,20.54,18.37,Medium,2.92,3,345.12,Safe
Silt,30.48,18.61,Coarse,2.52,2,213.26,Safe
Gravel,30.3,19.25,Coarse,2.63,1,400.0,Safe
Silt,6.57,19.3,Medium,2.32,3,251.81,Safe
Sand,33.59,21.7,Coarse,1.02,5,327.84,Safe
Clay,32.6,14.06,Medium,1.69,5,59.17,Unsafe
Clay,9.67,20.41,Coarse,1.22,5,208.24,Safe
Gravel,21.18,16.84,Coarse,2.3,5,361.14,Safe
Clay,28.69,16.24,Fine,2.93,1,97.75,Unsafe
Clay,32.74,15.59,Coarse,1.46,3,68.47,Unsafe
Sand,14.52,16.08,Coarse,1.53,2,221.71,Safe
Silt,10.95,14.8,Fine,2.57,3,201.18,Safe
Clay,20.93,16.33,Fine,2.29,2,118.9,Moderate
Clay,34.49,16.68,Fine,1.76,4,69.58,Unsafe
Silt,33.56,17.18,Fine,2.02,5,206.81,Safe
Sand,22.13,16.74,Coarse,0.53,2,202.89,Safe
Clay,15.33,18.39,Medium,1.76,1,143.79,Moderate
Clay,5.96,15.87,Medium,1.16,1,116.32,Moderate
Sand,23.21,14.36,Medium,2.21,5,214.97,Safe
Clay,22.94,17.41,Coarse,1.55,3,143.38,Moderate
Silt,30.83,18.55,Coarse,0.59,1,198.13,Moderate
Clay,6.76,20.11,Fine,2.19,1,181.86,Moderate
Silt,26.84,17.25,Coarse,0.91,1,168.79,Moderate
Clay,12.97,19.19,Fine,1.14,5,148.58,Moderate
Silt,17.23,16.43,Coarse,2.5,5,291.11,Safe
Sand,29.05,14.78,Coarse,1.79,2,255.74,Safe
Sand,32.06,15.4,Fine,2.01,4,209.13,Safe
Clay,26.13,15.17,Coarse,2.32,1,100.12,Moderate
Clay,11.12,16.2,Fine,1.23,4,107.64,Moderate
Clay,7.96,16.25,Coarse,0.91,3,155.41,Moderate
Clay,13.86,19.52,Coarse,2.68,5,211.47,Safe
Clay,20.07,18.0,Coarse,1.64,2,154.86,Moderate
Clay,37.79,20.45,Medium,2.56,3,134.75,Moderate
Sand,23.85,21.09,Fine,1.16,3,260.98,Safe
Clay,19.77,14.68,Fine,2.73,5,125.93,Moderate
Sand,32.37,21.3,Medium,2.21,1,287.13,Safe
Clay,28.7,14.86,Medium,2.79,2,85.14,Unsafe
Sand,20.52,16.02,Fine,0.84,1,144.95,Moderate
Sand,15.41,20.41,Medium,2.49,5,333.11,Safe
Gravel,10.5,15.31,Coarse,1.22,1,270.51,Safe
Clay,10.29,14.95,Fine,2.43,4,145.21,Moderate
Sand,11.56,15.37,Medium,2.69,4,243.18,Safe
Clay,19.96,14.96,Medium,1.45,1,81.71,Unsafe
Clay,31.0,21.28,Medium,2.93,3,181.61,Moderate
Clay,11.79,20.84,Medium,1.24,2,190.16,Moderate
Silt,17.89,18.98,Coarse,1.46,5,257.64,Safe
Clay,22.07,18.75,Fine,1.89,4,122.58,Moderate
Silt,8.94,15.84,Fine,1.47,2,172.02,Moderate
Clay,25.38,19.06,Medium,2.54,4,144.88,Moderate
Sand,27.57,21.26,Medium,1.23,3,277.56,Safe
Clay,33.23,21.32,Coarse,1.59,3,142.57,Moderate
Sand,31.47,21.18,Medium,2.4,1,273.47,Safe
Silt,34.42,14.89,Fine,2.32,1,125.12,Moderate
Clay,9.8,21.96,Coarse,0.92,5,230.02,Safe
Gravel,39.63,20.25,Fine,1.82,5,279.92,Safe
Sand,15.99,17.08,Medium,1.37,2,245.0,Safe
Clay,31.79,15.72,Fine,0.89,5,50.0,Unsafe
Sand,5.43,21.64,Coarse,2.01,5,400.0,Safe
Clay,25.76,14.63,Coarse,1.07,4,69.41,Unsafe
Clay,26.07,15.22,Medium,1.98,3,84.54,Unsafe
Clay,28.71,17.91,Medium,2.31,1,114.41,Moderate
Sand,20.15,16.67,Medium,2.54,5,294.95,Safe
Gravel,17.08,21.09,Fine,2.58,1,364.39,Safe
Clay,17.89,17.1,Coarse,0.55,5,121.69,Moderate
Gravel,26.02,18.6,Fine,0.54,4,317.9,Safe
Silt,22.89,19.47,Coarse,0.7,1,202.39,Safe
Silt,9.91,16.75,Coarse,1.71,3,214.56,Safe
